custid,active,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,days_active,days_conversion,firstorderday,lastorderday,single_day_customer,days_lastorderrecency
LSL6QK,0,2011-02-22,2011-05-02,2011-05-02,0,0.0,0.0,29.17,0.0,0,0,0,Monday,BOM,0,69,Monday,Monday,True,2456
9SVNMF,1,2010-12-18,2010-12-19,2012-07-18,47,2.127659574,0.0,79.88,0.0069324090000000005,0,0,0,Wednesday,DEL,577,1,Sunday,Wednesday,False,2013
JPBBEP,1,2010-08-12,2012-08-22,2013-05-01,47,19.14893617,10.63829787,115.25,0.13888888900000002,1,0,0,Wednesday,DEL,252,741,Wednesday,Wednesday,False,1726
3ML22U,0,2011-03-10,2011-04-24,2012-11-14,0,0.0,0.0,76.67,0.0070175440000000006,0,0,0,Tuesday,DEL,570,45,Sunday,Wednesday,False,1894
N297FU,0,2010-04-24,2010-12-20,2011-11-17,0,0.0,0.0,35.86,0.006024096,0,0,0,Tuesday,DEL,332,240,Monday,Thursday,False,2257
JD96M8,1,2011-01-26,2011-06-13,2011-08-02,18,0.0,0.0,85.61,0.08,0,0,0,Tuesday,DEL,50,138,Monday,Tuesday,False,2364
PLM5WZ,0,2009-11-17,2009-11-24,2013-10-08,0,0.0,0.0,75.54,0.007072136,0,0,0,Monday,DEL,1414,7,Tuesday,Tuesday,False,1566
F3MF5Y,1,2010-07-24,2010-07-29,2011-11-28,31,100.0,9.677419355,59.67,0.016427105,0,0,0,Thursday,DEL,487,5,Thursday,Monday,False,2246
2GHDRJ,1,2009-07-24,2010-05-23,2013-03-07,46,6.52173913,4.347826087,59.11,0.015701668000000002,1,0,0,Friday,BOM,1019,303,Sunday,Thursday,False,1781
KZHTJ7,1,2011-01-26,2011-02-28,2013-12-17,49,36.73469388,20.40816327,33.87,0.026392962,0,0,0,Monday,BOM,1023,33,Monday,Tuesday,False,1496
WXBP2F,1,2010-08-28,2011-05-17,2011-06-14,16,0.0,0.0,64.82,0.071428571,0,0,0,Tuesday,DEL,28,262,Tuesday,Tuesday,False,2413
RJYYJ9,1,2011-01-29,2012-08-19,2012-08-19,45,11.11111111,0.0,60.94,0.0,0,0,0,Tuesday,BOM,0,568,Sunday,Sunday,True,1981
MZ8L3N,1,2011-02-09,2011-03-20,2011-11-03,40,2.5,2.5,94.28,0.021929825,0,0,0,Thursday,BOM,228,39,Sunday,Thursday,False,2271
UCVGQ9,1,2011-03-07,2011-03-14,2013-09-11,48,12.5,2.083333333,103.39,0.013157895,0,0,0,Monday,BOM,912,7,Monday,Wednesday,False,1593
4W84UJ,0,2009-04-24,2009-04-24,2009-04-24,0,0.0,0.0,15.64,0.0,0,0,0,Tuesday,DEL,0,0,Friday,Friday,True,3194
LMVN3V,1,2010-05-18,2010-06-02,2012-03-08,45,17.77777778,2.222222222,117.97,0.03255814,0,0,0,Thursday,DEL,645,15,Wednesday,Thursday,False,2145
CZTUVU,1,2010-09-13,2011-11-07,2012-09-28,47,2.127659574,0.0,37.24,0.036809816,0,0,0,Wednesday,DEL,326,420,Monday,Friday,False,1941
3TJT3R,1,2011-04-22,2011-04-28,2012-01-22,16,0.0,0.0,165.95,0.0074349440000000015,0,0,0,Friday,BOM,269,6,Thursday,Sunday,False,2191
Q7RV8W,1,2010-08-20,2010-08-30,2010-08-30,45,0.0,0.0,74.74,0.0,0,0,0,Friday,BOM,0,10,Monday,Monday,True,2701
D5SNFS,0,2011-01-04,2011-04-13,2013-10-06,0,0.0,0.0,178.44,0.045203969,0,0,0,Wednesday,DEL,907,99,Wednesday,Sunday,False,1568
ANEWZC,0,2011-03-08,2011-03-08,2011-03-08,0,0.0,0.0,43.54,0.0,0,0,0,Tuesday,BOM,0,0,Tuesday,Tuesday,True,2511
ZKL5JF,0,2011-01-20,2011-04-07,2012-04-12,0,0.0,0.0,103.64,0.016172507,0,0,0,Thursday,BOM,371,77,Thursday,Thursday,False,2110
EEKG4H,0,2009-11-10,2009-11-10,2009-11-10,0,0.0,0.0,28.63,0.0,0,0,0,Wednesday,DEL,0,0,Tuesday,Tuesday,True,2994
AZJTMQ,0,2009-06-20,2009-07-13,2009-07-13,0,0.0,0.0,21.97,0.0,0,0,0,Thursday,DEL,0,23,Monday,Monday,True,3114
HGBG96,0,2010-01-26,2010-02-01,2010-06-22,0,0.0,0.0,87.05,0.021276596,0,0,0,Tuesday,DEL,141,6,Monday,Tuesday,False,2770
W97W6Q,1,2010-02-26,2010-04-10,2013-04-29,48,2.083333333,2.083333333,35.73,0.026008969,0,0,0,Tuesday,DEL,1115,43,Saturday,Monday,False,1728
LGA8JT,1,2009-11-11,2010-04-12,2013-11-03,50,10.0,4.0,33.38,0.005380477,0,0,0,Monday,DEL,1301,152,Monday,Sunday,False,1540
RZQEWF,1,2010-10-19,2010-10-19,2010-10-19,45,0.0,0.0,22.92,0.0,0,0,0,Wednesday,DEL,0,0,Tuesday,Tuesday,True,2651
D4AEL5,0,2010-03-04,2011-03-02,2012-02-27,0,0.0,0.0,125.97,0.035911602,0,0,0,Monday,DEL,362,363,Wednesday,Monday,False,2155
3PST7V,0,2011-02-10,2011-02-10,2011-03-24,0,0.0,0.0,37.01,0.047619048,0,0,0,Friday,DEL,42,0,Thursday,Thursday,False,2495
T6ZAER,0,2009-07-19,2009-10-22,2009-11-17,0,0.0,0.0,61.85,0.269230769,0,0,0,Friday,DEL,26,95,Thursday,Tuesday,False,2987
C55RAB,0,2010-08-03,2010-08-09,2010-08-09,0,0.0,0.0,101.3,0.0,0,0,0,Wednesday,DEL,0,6,Monday,Monday,True,2722
YRHUHV,1,2010-04-15,2010-10-04,2013-11-18,53,3.773584906,3.773584906,151.27,0.094653812,0,0,0,Tuesday,DEL,1141,172,Monday,Monday,False,1525
8SK2UB,1,2011-01-23,2011-02-07,2011-03-21,18,0.0,0.0,58.57,0.166666667,0,0,0,Monday,DEL,42,15,Monday,Monday,False,2498
HZS3AJ,0,2010-09-07,2011-10-26,2011-10-26,0,0.0,0.0,55.9,0.0,0,0,0,Thursday,BOM,0,414,Wednesday,Wednesday,True,2279
GXDXR6,1,2010-06-21,2010-06-28,2011-06-27,18,0.0,0.0,132.31,0.027472527000000004,0,0,0,Monday,DEL,364,7,Monday,Monday,False,2400
LE9M9X,1,2011-04-12,2011-04-17,2011-04-17,16,0.0,0.0,91.9,0.0,0,0,0,Monday,DEL,0,5,Sunday,Sunday,True,2471
B2LW75,1,2009-05-14,2010-03-12,2010-03-12,16,0.0,0.0,39.16,0.0,0,0,0,Friday,DEL,0,302,Friday,Friday,True,2872
BNE3YV,1,2010-07-13,2011-03-28,2013-10-02,23,95.65217391,0.0,68.82,0.032644178,0,0,0,Monday,BOM,919,258,Monday,Wednesday,False,1572
LJJEMA,1,2010-10-05,2013-10-26,2013-10-26,34,14.70588235,0.0,44.05,0.0,0,1,0,Tuesday,BOM,0,1117,Saturday,Saturday,True,1548
EBNK8A,0,2010-08-27,2010-09-07,2010-09-07,0,0.0,0.0,184.37,0.0,0,0,0,Wednesday,DEL,0,11,Tuesday,Tuesday,True,2693
Z4YCW4,1,2010-06-14,2011-04-28,2013-07-01,41,43.90243902,0.0,27.11,0.065408805,1,0,0,Thursday,DEL,795,318,Thursday,Monday,False,1665
FNWU29,0,2010-08-26,2010-09-23,2012-11-25,0,0.0,0.0,65.77,0.018891688,1,0,0,Wednesday,MAA,794,28,Thursday,Sunday,False,1883
ARR4H6,1,2010-09-05,2010-09-06,2012-06-18,42,26.19047619,2.380952381,44.97,0.006144393000000001,0,0,0,Tuesday,BOM,651,1,Monday,Monday,False,2043
RACF5D,0,2010-09-20,2010-10-14,2010-10-14,0,0.0,0.0,69.69,0.0,0,0,0,Thursday,DEL,0,24,Thursday,Thursday,True,2656
64QBT7,0,2011-03-15,2011-03-28,2011-04-11,33,75.75757576,0.0,49.76,0.214285714,0,0,0,Tuesday,DEL,14,13,Monday,Monday,False,2477
GK3EST,1,2010-06-16,2010-06-21,2010-06-21,16,0.0,0.0,81.95,0.0,0,0,0,Wednesday,DEL,0,5,Monday,Monday,True,2771
W3TM2U,0,2010-11-03,2010-11-03,2012-02-06,0,0.0,0.0,134.18,0.015217391,1,0,0,Tuesday,BOM,460,0,Wednesday,Monday,False,2176
MLX3EU,1,2008-10-02,2008-10-02,2008-10-02,14,0.0,0.0,63.18,0.0,0,0,0,Thursday,DEL,0,0,Thursday,Thursday,True,3398
BXWS2B,1,2009-11-29,2011-07-22,2014-01-08,45,77.77777778,20.0,42.62,0.064372919,1,0,0,Monday,DEL,901,600,Friday,Wednesday,False,1474
C8UJQ3,1,2010-02-09,2010-03-30,2010-03-30,16,0.0,0.0,23.79,0.0,0,0,0,Wednesday,DEL,0,49,Tuesday,Tuesday,True,2854
PFCF8Q,1,2010-07-12,2012-11-20,2012-11-20,46,93.47826087,15.2173913,165.07,0.0,0,0,0,Tuesday,DEL,0,862,Tuesday,Tuesday,True,1888
NJR788,0,2010-08-18,2010-08-23,2010-08-23,0,0.0,0.0,29.68,0.0,0,0,0,Tuesday,DEL,0,5,Monday,Monday,True,2708
J8SLPE,1,2009-08-07,2009-09-11,2013-10-10,45,4.444444444,2.222222222,39.41,0.006711409000000001,0,0,0,Friday,DEL,1490,35,Friday,Thursday,False,1564
GYH5AF,1,2011-01-18,2012-06-28,2012-06-28,47,2.127659574,0.0,73.07,0.0,0,0,0,Friday,DEL,0,527,Thursday,Thursday,True,2033
4QRWVB,1,2010-08-17,2011-04-26,2011-10-23,18,0.0,0.0,50.87,0.072222222,0,0,0,Wednesday,DEL,180,252,Tuesday,Sunday,False,2282
VMYYX9,0,2010-01-23,2010-03-01,2010-10-11,0,0.0,0.0,35.09,0.09375,0,0,0,Monday,DEL,224,37,Monday,Monday,False,2659
CF5K35,1,2011-02-03,2011-02-03,2011-03-27,42,38.0952381,0.0,85.37,0.076923077,0,0,0,Monday,DEL,52,0,Thursday,Sunday,False,2492
XQK2CK,0,2010-12-08,2010-12-08,2010-12-08,0,0.0,0.0,60.3,0.0,0,0,0,Thursday,DEL,0,0,Wednesday,Wednesday,True,2601
FM7VFL,1,2009-10-05,2009-10-16,2011-10-18,44,25.0,11.36363636,117.32,0.032786885,1,0,0,Friday,DEL,732,11,Friday,Tuesday,False,2287
7PEMUD,1,2009-11-30,2009-11-30,2012-11-13,47,0.0,0.0,105.45,0.003707136,0,0,0,Tuesday,DEL,1079,0,Monday,Tuesday,False,1895
A3XBE,1,2011-04-11,2011-04-11,2012-07-29,45,6.666666667,2.222222222,165.23,0.010526316,1,0,0,Monday,BOM,475,0,Monday,Sunday,False,2002
EQSD5E,1,2008-10-07,2009-12-21,2009-12-21,45,6.666666667,0.0,52.4,0.0,0,0,0,Tuesday,DEL,0,440,Monday,Monday,True,2953
CT3NDS,1,2011-03-23,2011-03-23,2014-01-03,39,87.17948718,12.82051282,30.48,0.015732547,0,0,0,Tuesday,BOM,1017,0,Wednesday,Friday,False,1479
C6HVXN,1,2010-04-16,2012-04-20,2012-04-20,16,0.0,0.0,33.57,0.0,0,0,0,Thursday,DEL,0,735,Friday,Friday,True,2102
ARP342,0,2010-05-01,2011-05-09,2011-05-09,0,0.0,0.0,83.04,0.0,0,0,0,Monday,DEL,0,373,Monday,Monday,True,2449
7PALQK,0,2010-04-15,2011-04-14,2011-07-28,0,0.0,0.0,54.82,0.076190476,0,0,0,Thursday,DEL,105,364,Thursday,Thursday,False,2369
S5DZ4Y,1,2010-07-12,2010-07-26,2011-11-14,47,2.127659574,0.0,20.54,0.008403361,0,0,0,Monday,DEL,476,14,Monday,Monday,False,2260
Z7QFN7,1,2009-04-30,2009-05-07,2009-05-07,16,0.0,0.0,53.36,0.0,0,0,0,Friday,DEL,0,7,Thursday,Thursday,True,3181
TGYGPC,1,2011-01-09,2011-02-01,2012-07-19,42,16.66666667,2.380952381,27.74,0.005617978,0,0,0,Friday,BOM,534,23,Tuesday,Thursday,False,2012
DVRYSK,0,2011-04-06,2011-04-06,2011-04-06,0,0.0,0.0,25.0,0.0,0,0,0,Thursday,DEL,0,0,Wednesday,Wednesday,True,2482
HTJNCB,1,2010-10-11,2010-10-11,2011-01-12,39,35.8974359,0.0,130.51,0.021505376,0,0,0,Tuesday,DEL,93,0,Monday,Wednesday,False,2566
3VCXN,0,2011-04-10,2011-05-01,2012-05-13,0,0.0,0.0,141.97,0.015873016,0,0,0,Monday,DEL,378,21,Sunday,Sunday,False,2079
SGU3PB,0,2010-03-31,2010-09-12,2011-10-12,0,0.0,0.0,47.5,0.010126582,1,0,0,Thursday,DEL,395,165,Sunday,Wednesday,False,2293
PXXTWN,0,2010-05-03,2010-07-05,2010-11-11,0,0.0,0.0,111.86,0.054263566,0,0,0,Tuesday,DEL,129,63,Monday,Thursday,False,2628
U9ZQQP,1,2010-12-01,2011-06-12,2013-07-22,46,19.56521739,10.86956522,29.73,0.006485084,1,0,0,Tuesday,MAA,771,193,Sunday,Monday,False,1644
M87HQT,0,2010-09-03,2010-09-24,2011-03-17,0,0.0,0.0,109.16,0.022988506,0,0,0,Monday,DEL,174,21,Friday,Thursday,False,2502
564EL5,0,2010-06-19,2010-06-30,2010-06-30,0,0.0,0.0,27.6,0.0,0,0,0,Thursday,DEL,0,11,Wednesday,Wednesday,True,2762
S7B2TP,1,2010-09-06,2011-08-21,2011-08-21,38,28.94736842,18.42105263,54.62,0.0,0,0,0,Friday,BOM,0,349,Sunday,Sunday,True,2345
PA38W9,0,2010-09-21,2011-03-10,2011-03-10,0,0.0,0.0,37.2,0.0,0,0,0,Thursday,BOM,0,170,Thursday,Thursday,True,2509
5DDKKP,1,2009-11-13,2009-11-13,2009-11-13,40,22.5,0.0,139.88,0.0,0,0,0,Friday,DEL,0,0,Friday,Friday,True,2991
BUMVQN,0,2010-02-15,2010-02-22,2010-02-22,0,0.0,0.0,57.3,0.0,0,0,0,Monday,DEL,0,7,Monday,Monday,True,2890
ZPR8KQ,1,2009-02-16,2010-09-20,2013-12-02,52,3.846153846,1.923076923,59.35,0.020530368,1,0,0,Monday,DEL,1169,581,Monday,Monday,False,1511
EG43ET,1,2011-02-21,2011-02-28,2012-02-20,34,79.41176471,17.64705882,44.25,0.014005602,0,0,0,Monday,DEL,357,7,Monday,Monday,False,2162
QKYBFL,1,2010-08-23,2011-01-26,2011-03-31,18,0.0,0.0,18.42,0.203125,0,0,0,Thursday,DEL,64,156,Wednesday,Thursday,False,2488
2NV3SY,1,2011-01-25,2011-02-01,2011-02-01,40,25.0,0.0,302.43,0.0,0,0,0,Thursday,BOM,0,7,Tuesday,Tuesday,True,2546
YUA6VH,1,2011-03-17,2011-05-05,2011-05-27,47,2.127659574,0.0,50.79,0.272727273,0,0,0,Friday,BOM,22,49,Thursday,Friday,False,2431
ME8GM2,1,2010-02-12,2011-10-04,2013-11-05,37,5.405405405,5.405405405,57.22,0.00655308,1,0,0,Wednesday,DEL,763,599,Tuesday,Tuesday,False,1538
ELJFL7,1,2011-02-08,2011-02-08,2011-07-19,41,21.95121951,14.63414634,72.66,0.01863354,0,0,0,Wednesday,DEL,161,0,Tuesday,Tuesday,False,2378
37TL6Y,1,2011-03-10,2011-05-13,2011-05-20,16,0.0,0.0,71.96,0.28571428600000004,0,0,0,Friday,BOM,7,64,Friday,Friday,False,2438
VSDFDY,1,2009-10-29,2009-10-29,2009-11-22,16,0.0,0.0,37.81,0.083333333,0,0,0,Friday,DEL,24,0,Thursday,Sunday,False,2982
XWM9F2,1,2011-02-06,2012-07-02,2012-07-02,42,23.80952381,0.0,16.14,0.0,0,0,0,Monday,BOM,0,512,Monday,Monday,True,2029
248PRB,1,2010-06-27,2010-08-31,2013-11-06,45,22.22222222,8.888888889,104.22,0.012897678,0,0,0,Wednesday,MAA,1163,65,Tuesday,Wednesday,False,1537
EDHT4T,1,2011-03-01,2011-03-13,2011-04-11,42,23.80952381,0.0,86.73,0.103448276,0,0,0,Monday,DEL,29,12,Sunday,Monday,False,2477
2K94VS,1,2010-08-25,2010-08-25,2010-08-25,44,29.54545455,0.0,30.57,0.0,0,0,0,Friday,DEL,0,0,Wednesday,Wednesday,True,2706
PBCL4J,0,2009-07-14,2009-07-14,2009-07-14,0,0.0,0.0,23.65,0.0,0,0,0,Tuesday,DEL,0,0,Tuesday,Tuesday,True,3113
E3JPX3,0,2010-09-12,2011-02-10,2011-02-17,0,0.0,0.0,120.14,0.7142857140000001,0,0,0,Thursday,DEL,7,151,Thursday,Thursday,False,2530
5CLFNM,1,2010-12-09,2010-12-22,2013-12-15,46,6.52173913,0.0,70.32,0.019283747,0,0,0,Monday,DEL,1089,13,Wednesday,Sunday,False,1498
S8J2KD,0,2010-09-28,2010-10-19,2010-10-19,0,0.0,0.0,57.76,0.0,0,0,0,Wednesday,DEL,0,21,Tuesday,Tuesday,True,2651
SJKEYZ,1,2010-08-27,2011-02-10,2012-07-31,47,17.0212766,6.382978723,55.18,0.020484171,0,0,0,Wednesday,BOM,537,167,Thursday,Tuesday,False,2000
PCM3GS,1,2010-10-06,2010-10-13,2013-12-11,48,4.166666667,0.0,96.37,0.007792208,1,0,0,Monday,DEL,1155,7,Wednesday,Wednesday,False,1502
4YUT8B,0,2011-02-23,2011-02-24,2011-02-24,0,0.0,0.0,55.68,0.0,0,0,0,Friday,BOM,0,1,Thursday,Thursday,True,2523
WYPLUJ,1,2009-12-06,2009-12-06,2009-12-06,16,0.0,0.0,20.2,0.0,0,0,0,Monday,DEL,0,0,Sunday,Sunday,True,2968
6FR5QW,0,2009-08-26,2009-08-26,2009-08-26,0,0.0,0.0,29.0,0.0,0,0,0,Thursday,DEL,0,0,Wednesday,Wednesday,True,3070
ETU955,1,2011-03-02,2014-01-10,2014-01-19,11,27.27272727,18.18181818,38.46,0.222222222,1,1,1,Monday,BOM,9,1045,Friday,Sunday,False,1463
3WEGJ4,1,2008-12-04,2010-01-19,2014-01-15,22,4.545454545,4.545454545,36.48,0.009608785,0,0,0,Monday,DEL,1457,411,Tuesday,Wednesday,False,1467
HFLKGD,1,2010-02-09,2010-03-12,2010-12-03,18,0.0,0.0,51.3,0.045112782,0,0,0,Friday,DEL,266,31,Friday,Friday,False,2606
CXU7AW,0,2011-03-07,2011-03-08,2011-04-10,0,0.0,0.0,171.7,0.060606061,0,0,0,Tuesday,BOM,33,1,Tuesday,Sunday,False,2478
Y4JALT,1,2011-02-13,2011-08-04,2011-11-14,34,64.70588235,2.9411764710000003,93.96,0.019607843,0,0,0,Friday,BOM,102,172,Thursday,Monday,False,2260
6ZHF73,0,2010-09-07,2011-01-25,2013-05-28,0,0.0,0.0,67.95,0.018735363,0,0,0,Wednesday,DEL,854,140,Tuesday,Tuesday,False,1699
UTLGDS,1,2010-01-29,2010-10-22,2013-10-10,47,2.127659574,0.0,110.02,0.04704797,0,0,0,Tuesday,DEL,1084,266,Friday,Thursday,False,1564
F3ANT8,1,2011-02-18,2011-05-12,2012-01-13,47,0.0,0.0,37.35,0.016260163,0,0,0,Thursday,BOM,246,83,Thursday,Friday,False,2200
UH5A8N,0,2009-12-10,2009-12-10,2010-02-05,0,0.0,0.0,21.98,0.052631579000000005,0,0,0,Friday,DEL,57,0,Thursday,Friday,False,2907
72EG38,0,2010-05-02,2011-07-07,2011-07-27,0,0.0,0.0,147.35,0.45,0,0,0,Friday,DEL,20,431,Thursday,Wednesday,False,2370
DEHQEB,0,2011-01-13,2011-09-28,2012-02-06,0,0.0,0.0,99.47,0.022900763,0,0,0,Wednesday,DEL,131,258,Wednesday,Monday,False,2176
HU4SHX,0,2009-11-09,2010-08-19,2011-11-17,0,0.0,0.0,75.83,0.041758242,0,0,0,Friday,DEL,455,283,Thursday,Thursday,False,2257
ZGNKU4,1,2010-08-09,2010-12-06,2011-10-17,32,87.5,6.25,27.77,0.025396825,0,0,0,Monday,BOM,315,119,Monday,Monday,False,2288
9B2NQX,0,2010-09-28,2010-09-29,2010-09-29,0,0.0,0.0,83.85,0.0,0,0,0,Thursday,DEL,0,1,Wednesday,Wednesday,True,2671
HSZGYK,1,2010-01-21,2010-03-01,2010-05-03,41,56.09756098,0.0,13.73,0.111111111,0,0,0,Monday,DEL,63,39,Monday,Monday,False,2820
FVHPYJ,0,2009-11-15,2010-03-29,2010-03-29,2,50.0,0.0,31.04,0.0,0,0,0,Monday,DEL,0,134,Monday,Monday,True,2855
SKUYV,1,2011-04-22,2011-04-22,2014-01-19,67,25.37313433,8.955223881,85.66,0.11665005,1,1,0,Monday,BOM,1003,0,Friday,Sunday,False,1463
FCX4A7,1,2011-01-29,2011-02-13,2014-01-16,39,87.17948718,12.82051282,101.64,0.005617978,0,0,0,Monday,BOM,1068,15,Sunday,Thursday,False,1466
2CQ42Z,1,2010-08-30,2013-06-17,2013-07-07,47,0.0,0.0,44.94,0.2,0,0,0,Wednesday,DEL,20,1022,Monday,Sunday,False,1659
9HRV46,1,2011-01-18,2013-06-30,2013-06-30,44,4.545454545,0.0,50.94,0.0,0,0,0,Monday,DEL,0,894,Sunday,Sunday,True,1666
TNDHYE,1,2011-03-22,2011-04-05,2011-05-03,46,4.347826087,4.347826087,56.53,0.14285714300000002,1,0,0,Wednesday,MAA,28,14,Tuesday,Tuesday,False,2455
P4SHNX,1,2011-03-27,2013-10-06,2013-10-06,34,23.52941176,8.823529412000001,41.0,0.0,0,0,0,Thursday,BOM,0,924,Sunday,Sunday,True,1568
XFM2UU,0,2010-05-05,2010-12-03,2010-12-03,0,0.0,0.0,129.76,0.0,0,0,0,Friday,DEL,0,212,Friday,Friday,True,2606
FYKE6T,1,2010-11-09,2011-01-11,2013-03-04,45,4.444444444,0.0,46.46,0.039591315,0,0,0,Tuesday,BOM,783,63,Tuesday,Monday,False,1784
9HNPDF,1,2009-11-10,2009-11-17,2009-12-14,16,0.0,0.0,49.8,0.111111111,0,0,0,Friday,DEL,27,7,Tuesday,Monday,False,2960
3PMDNS,0,2010-04-26,2010-11-23,2010-11-23,0,0.0,0.0,28.37,0.0,0,0,0,Wednesday,DEL,0,211,Tuesday,Tuesday,True,2616
QDTHZ3,0,2009-08-27,2009-08-27,2009-08-27,0,0.0,0.0,27.57,0.0,0,0,0,Tuesday,DEL,0,0,Thursday,Thursday,True,3069
85JTA,1,2011-04-22,2011-06-13,2012-05-20,45,2.222222222,0.0,63.28,0.00877193,0,0,0,Monday,DEL,342,52,Monday,Sunday,False,2072
YACQB7,0,2011-05-10,2011-05-15,2013-06-04,1,0.0,0.0,87.01,0.08388814900000001,0,0,0,Monday,DEL,751,5,Sunday,Tuesday,False,1692
UA88SV,1,2010-07-02,2011-07-04,2013-09-01,45,11.11111111,0.0,55.71,0.007594936999999999,0,0,0,Thursday,DEL,790,367,Monday,Sunday,False,1603
M43V97,0,2011-01-24,2011-01-24,2011-01-24,0,0.0,0.0,30.63,0.0,0,0,0,Tuesday,DEL,0,0,Monday,Monday,True,2554
BRZQNB,1,2010-07-09,2011-04-12,2013-09-06,38,28.94736842,0.0,28.7,0.089977221,1,0,0,Wednesday,MAA,878,277,Tuesday,Friday,False,1598
6GK8ZP,0,2010-05-30,2010-05-30,2010-05-30,0,0.0,0.0,26.25,0.0,0,0,0,Monday,DEL,0,0,Sunday,Sunday,True,2793
AXS66R,1,2010-11-16,2011-04-22,2014-01-19,72,30.55555556,0.0,80.06,0.175473579,0,1,0,Monday,BOM,1003,157,Friday,Sunday,False,1463
C9S2QZ,1,2008-08-07,2010-03-24,2014-01-14,51,19.60784314,13.7254902,53.37,0.122126437,0,1,0,Wednesday,DEL,1392,594,Wednesday,Tuesday,False,1468
BTE8SJ,1,2011-01-12,2012-05-21,2012-06-28,43,6.976744186,6.976744186,52.63,0.078947368,1,0,0,Tuesday,DEL,38,495,Monday,Thursday,False,2033
6C69AH,0,2010-04-15,2010-04-15,2010-04-15,0,0.0,0.0,142.5,0.0,0,0,0,Friday,DEL,0,0,Thursday,Thursday,True,2838
MFGEYU,0,2011-03-07,2011-03-07,2011-05-17,0,0.0,0.0,64.77,0.028169014,0,0,0,Thursday,BOM,71,0,Monday,Tuesday,False,2441
