high_gpa,math_sat,verb_sat,comp_gpa,univ_gpa,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,POSTED_BY1,UNDER_CONSTRUCTION1,RERA1,BHK_NO.1,BHK_OR_RK1,SQUARE_FT1
2,557,503,2,2,Dealer,0,0,2,BHK,800.2013085,1,1,"Guru Teg Bahadur Nagar,Mohali",30.75501,76.640515,Dealer,0,0,2,BHK,800.2013085
2,557,503,2,2,Dealer,0,0,3,BHK,1609.745486,1,1,"Vaibhav Khand,Ghaziabad",28.9196,76.8972,Dealer,0,0,3,BHK,1609.745486
2,557,503,2,2,Dealer,0,0,2,BHK,1156.069364,1,1,"Shankar Kalat Nagar,Pune",19.957301,73.839897,Dealer,0,0,2,BHK,1156.069364
2,557,503,2,2,Dealer,0,0,2,BHK,1043.181818,1,1,"Vengaivasal,Chennai",12.89911,80.169,Dealer,0,0,2,BHK,1043.181818
2,557,503,2,2,Dealer,1,1,3,BHK,1187.678628,0,1,"Bahadarabad,Haridwar",29.914435,78.055308,Dealer,1,1,3,BHK,1187.678628
2,557,503,2,2,Dealer,0,1,2,BHK,1120.238984,1,1,"Sector 80 Faridabad,Faridabad",28.381971,77.347688,Dealer,0,1,2,BHK,1120.238984
2,557,503,2,2,Dealer,0,0,2,BHK,890,1,1,"Champasari,Siliguri",26.747109,88.417335,Dealer,0,0,2,BHK,890
2,557,503,2,2,Dealer,0,0,10,BHK,2481.016465,1,1,"Kaggadasapura,Bangalore",12.9816,77.6729,Dealer,0,0,10,BHK,2481.016465
2,557,503,2,2,Dealer,0,1,2,BHK,1027.066216,1,1,"Hinjewadi,Pune",18.5853,73.7413,Dealer,0,1,2,BHK,1027.066216
2,557,503,2,2,Dealer,0,0,2,BHK,810.1707591,1,1,"Kandivali (East),Maharashtra",19.1955,72.8728,Dealer,0,0,2,BHK,810.1707591
2,557,503,2,2,Owner,0,0,3,BHK,1810.500905,1,1,"Zirakpur,Chandigarh",30.662283,76.822397,Owner,0,0,3,BHK,1810.500905
2,557,503,2,2,Owner,0,1,2,BHK,1215.201061,1,1,"Thirumenahalli,Bangalore",13.112151,77.761197,Owner,0,1,2,BHK,1215.201061
2,557,503,2,2,Owner,0,0,3,BHK,1790.18976,1,1,"Thanisandra,Bangalore",13.055985,77.622157,Owner,0,0,3,BHK,1790.18976
2,557,503,2,2,Dealer,0,1,2,BHK,760.0434311,1,1,"Thergaon,Pune",18.615805,73.775025,Dealer,0,1,2,BHK,760.0434311
2,557,503,2,2,Dealer,0,0,3,BHK,1815.087918,1,1,"Sector-8 Kharghar,Lalitpur",19.030318,73.070892,Dealer,0,0,3,BHK,1815.087918
2,557,503,2,2,Owner,0,0,2,BHK,450.1385042,1,1,"Beleghata,Kolkata",22.566098,88.394165,Owner,0,0,2,BHK,450.1385042
2,557,503,2,2,Dealer,0,0,3,BHK,1583.949314,1,1,"7th Phase JP Nagar,Bangalore",35,136,Dealer,0,0,3,BHK,1583.949314
2,557,503,2,2,Owner,0,0,2,BHK,1150.180743,1,1,"Gothapatna,Bhubaneswar",20.29613,85.741152,Owner,0,0,2,BHK,1150.180743
2,557,503,2,2,Dealer,0,0,2,BHK,1050.126015,1,1,"Sector-2 Ulwe,Mumbai",18.973908,73.025106,Dealer,0,0,2,BHK,1050.126015
2,557,503,2,2,Owner,0,0,2,BHK,965.154174,1,1,"Greater noida west sector 16-C,Noida",28.577728,77.314901,Owner,0,0,2,BHK,965.154174
2,557,503,2,2,Dealer,0,0,2,BHK,875.0820389,1,1,"Pimple Saudagar,Pune",18.5956,73.7981,Dealer,0,0,2,BHK,875.0820389
2,557,503,2,2,Dealer,1,1,2,BHK,1350.024546,0,1,"Ulwe,Mumbai",18.973908,73.025106,Dealer,1,1,2,BHK,1350.024546
2,557,503,2,2,Dealer,0,0,1,BHK,685.0804698,1,1,"Bhekrai Nagar,Pune",18.52783,73.875757,Dealer,0,0,1,BHK,685.0804698
2,557,503,2,2,Builder,1,1,1,BHK,584.1188232,0,0,"Dabolim,Goa",15.384909,73.850001,Builder,1,1,1,BHK,584.1188232
2,557,503,2,2,Dealer,0,0,2,BHK,1120.099564,1,1,"Kharadi,Pune",18.5438,73.9438,Dealer,0,0,2,BHK,1120.099564
2,557,503,2,2,Dealer,0,0,1,BHK,600.0857265,1,1,"Patia,Bhubaneswar",20.353795,85.82102,Dealer,0,0,1,BHK,600.0857265
2,557,503,2,2,Dealer,0,0,2,BHK,1040.118871,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,Dealer,0,0,2,BHK,1040.118871
2,557,503,2,2,Owner,1,0,2,BHK,800,0,1,"Lohegaon,Pune",18.595456,73.946088,Owner,1,0,2,BHK,800
2,557,503,2,2,Dealer,0,0,4,BHK,3400.011333,1,1,"Juhu Scheme,Maharashtra",19.1026,72.8243,Dealer,0,0,4,BHK,3400.011333
2,557,503,2,2,Owner,0,0,3,BHK,2000,1,1,"Muthyala Nagar,Bangalore",13.037488,77.548964,Owner,0,0,3,BHK,2000
2,557,503,2,2,Dealer,0,0,3,BHK,1510.716153,1,1,"Jhotwara,Jaipur",26.955346,75.734793,Dealer,0,0,3,BHK,1510.716153
2,557,503,2,2,Owner,0,0,1,BHK,500,1,1,"Dighi,Pune",19.524064,75.057956,Owner,0,0,1,BHK,500
2,557,503,2,2,Dealer,0,1,2,BHK,1081.843838,1,1,"Sector-137 Noida,Noida",28.506454,77.409568,Dealer,0,1,2,BHK,1081.843838
2,557,503,2,2,Owner,0,0,3,BHK,2383.790226,1,1,"Jagatpura,Jaipur",26.832353,75.841749,Owner,0,0,3,BHK,2383.790226
2,557,503,2,2,Builder,1,1,2,BHK,1240.875912,0,0,"Padamughal,Kochi",9.930471,76.271273,Builder,1,1,2,BHK,1240.875912
2,557,503,2,2,Owner,0,0,3,BHK,1500.258665,1,1,"Morabadi,Ranchi",23.398893,85.335374,Owner,0,0,3,BHK,1500.258665
2,557,503,2,2,Dealer,1,1,3,BHK,1569.448077,0,1,"Hebbal,Bangalore",13.04034,77.591347,Dealer,1,1,3,BHK,1569.448077
2,557,503,2,2,Dealer,0,1,3,BHK,1567.020251,1,1,"Konanakunte,Bangalore",12.8855,77.5638,Dealer,0,1,3,BHK,1567.020251
2,557,503,2,2,Dealer,0,0,2,BHK,1004.382761,1,1,"Pokhran-2,Mumbai",18.96667,72.83333,Dealer,0,0,2,BHK,1004.382761
2,557,503,2,2,Dealer,1,1,3,BHK,1402.91807,0,1,"Balewadi,Pune",18.097689,74.735239,Dealer,1,1,3,BHK,1402.91807
2,557,503,2,2,Dealer,0,0,3,BHK,1623.27527,1,1,"Cambridge Layout,Bangalore",12.96991,77.59796,Dealer,0,0,3,BHK,1623.27527
2,557,503,2,2,Dealer,0,0,1,BHK,639.952742,1,1,"Sector 19 Kharghar,Maharashtra",19.048979,73.078232,Dealer,0,0,1,BHK,639.952742
2,557,503,2,2,Owner,0,0,2,BHK,800,1,1,"Sector 17 Ulwe,Lalitpur",18.964489,73.019574,Owner,0,0,2,BHK,800
2,557,503,2,2,Dealer,0,1,3,BHK,1548.876252,1,1,"Sector-75 Noida,Noida",28.576117,77.382136,Dealer,0,1,3,BHK,1548.876252
2,557,503,2,2,Owner,0,1,2,BHK,1255.02008,1,1,"Sector-118 Noida,Noida",28.579845,77.403693,Owner,0,1,2,BHK,1255.02008
2,557,503,2,2,Dealer,0,0,2,BHK,868,1,1,"Ambegaon Bk,Pune",18.347616,73.586463,Dealer,0,0,2,BHK,868
2,557,503,2,2,Dealer,0,0,1,BHK,650.0101564,1,1,"Taloja,Lalitpur",24.69028,78.41889,Dealer,0,0,1,BHK,650.0101564
2,557,503,2,2,Dealer,0,0,3,BHK,1375,1,1,"Hiranandani Gardens - Powai,Lalitpur",19.124896,72.893503,Dealer,0,0,3,BHK,1375
2,557,503,2,2,Dealer,0,0,3,BHK,1343.252738,1,1,"Sector-35G Kharghar,Maharashtra",18.96,72.82,Dealer,0,0,3,BHK,1343.252738
2,557,503,2,2,Owner,0,0,2,BHK,980.3921569,1,1,"Bicholi Mardana,Indore",22.1764,75.8193,Owner,0,0,2,BHK,980.3921569
2,557,503,2,2,Owner,0,0,2,BHK,1000,1,1,"Maraimalai Nagar,Chennai",10.782597,79.842124,Owner,0,0,2,BHK,1000
2,557,503,2,2,Owner,1,0,2,BHK,597.6243504,0,1,"Vasanthanarasapura,Tumkur",13.480835,77.055895,Owner,1,0,2,BHK,597.6243504
2,557,503,2,2,Dealer,0,0,4,BHK,3430.06479,1,1,"Sector-4 Nerul,Lalitpur",28.583415,77.323171,Dealer,0,0,4,BHK,3430.06479
2,557,503,2,2,Owner,0,0,3,BHK,750.085237,1,1,"Sadhu Vasvani Road,Rajkot",22.29691,70.79836,Owner,0,0,3,BHK,750.085237
2,557,503,2,2,Dealer,0,0,2,BHK,1097.661623,1,1,"Kanakpura Road,Bangalore",12.896796,77.5724,Dealer,0,0,2,BHK,1097.661623
2,557,503,2,2,Dealer,0,0,4,BHK,2650.059626,1,1,"Hiranandani Gardens - Powai,Mumbai",19.124896,72.893503,Dealer,0,0,4,BHK,2650.059626
2,557,503,2,2,Owner,0,0,2,BHK,900.090009,1,1,"Rosario Church Road Pandeshwar,Mangalore",19.24684,72.85053,Owner,0,0,2,BHK,900.090009
2,557,503,2,2,Owner,0,1,3,BHK,1695.217702,1,1,"Sector-143 Noida,Noida",28.5035,77.426447,Owner,0,1,3,BHK,1695.217702
2,557,503,2,2,Owner,0,0,1,BHK,629.8252743,1,1,"Amroli,Surat",21.23994,72.85652,Owner,0,0,1,BHK,629.8252743
2,557,503,2,2,Owner,0,0,1,BHK,651.1627907,1,1,"Chokhi Dhani,Jaipur",26.76689,75.836081,Owner,0,0,1,BHK,651.1627907
2,557,503,2,2,Owner,0,0,2,BHK,1304.347826,1,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,Owner,0,0,2,BHK,1304.347826
2,557,503,2,2,Dealer,1,1,2,BHK,1221.840397,0,1,"Goregaon (East),Lalitpur",19.1615,72.8731,Dealer,1,1,2,BHK,1221.840397
2,557,503,2,2,Owner,0,0,2,BHK,1200,1,1,"Torwa,Bilaspur",22.06372,82.191853,Owner,0,0,2,BHK,1200
2,557,503,2,2,Dealer,0,0,3,BHK,1842.219332,1,1,"BEML Layout,Bangalore",13.11608,78.13698,Dealer,0,0,3,BHK,1842.219332
2,557,503,2,2,Owner,0,0,4,BHK,2147.179387,1,1,"Sector 36 Faridabad,Faridabad",28.47548,77.313143,Owner,0,0,4,BHK,2147.179387
2,557,503,2,2,Dealer,0,0,3,BHK,1629.99185,1,1,"Kaloor,Kochi",9.994,76.292,Dealer,0,0,3,BHK,1629.99185
2,557,503,2,2,Dealer,0,0,1,BHK,731.7073171,1,1,"Sector 17 Ulwe,Mumbai",18.964489,73.019574,Dealer,0,0,1,BHK,731.7073171
2,557,503,2,2,Dealer,0,0,3,BHK,2474.793767,1,1,"Malleshwaram,Bangalore",13.0097,77.5648,Dealer,0,0,3,BHK,2474.793767
2,557,503,2,2,Dealer,0,1,3,BHK,787.0632138,1,0,"Sector-143 Noida,Noida",28.5035,77.426447,Dealer,0,1,3,BHK,787.0632138
2,557,503,2,2,Owner,0,0,2,BHK,851.0638298,1,1,"Bansilal Nagar,Aurangabad",19.448154,76.444894,Owner,0,0,2,BHK,851.0638298
